unique_id,timestamp,x_shape,eval_test,model_name,model_version,model_version_note,runtime
5348a9be-9e69-4edc-afc7-794da4726c8e,1617965758.7412567,"(581, 6)",1007,Portugal-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
6c749bd2-d374-45df-9bfb-e62f2424b79c,1617965758.9359372,"(581, 6)",337,Germany-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
71139cab-d056-4fad-a3df-582709399bb7,1617965759.1567407,"(578, 6)",2000,EIRE-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
5c86d653-72bc-4453-90f5-54f9fffa43b8,1617965759.345344,"(581, 6)",595,France-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
5ff7d471-d3bd-48c4-b151-12d4738adf3f,1617965759.5154738,"(566, 6)",114,Netherlands-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
c867deac-b63e-48c8-84e6-ba2131034fc7,1617965759.6799545,"(573, 6)",168,Spain-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
9a11337b-e450-4853-92be-18d75066f4a8,1617965759.8224466,"(563, 6)",4122,Norway-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
5d07611b-ff79-4a3a-a65e-5ff24bb9e83e,1617965759.9355435,"(398, 6)",902,Hong Kong-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
0aecde79-f7ff-46ea-9fbf-8a27b43239e3,1617965760.0314152,"(418, 6)",2328,Singapore-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
be6d48bb-6a0c-4835-b137-4c9c18d0d85c,1617965796.8285294,"(581, 6)",73875,all-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
f3ce944b-4d19-4f8d-afd7-e68c5bb958ad,1617965796.8507817,"(581, 6)",72681,United Kingdom-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
86c43e36-e33f-4aa5-87ef-83220bb15f20,1617965796.8702693,"(581, 6)",1334,Portugal-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
d2108b62-7765-48ee-be67-f2d66613c024,1617965796.887907,"(581, 6)",865,Germany-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
1c8ef205-15fe-41b7-9f57-a6de5ea122b9,1617965796.9042654,"(578, 6)",3418,EIRE-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
5bcc8c24-2f6b-4051-9188-bd4e1d544468,1617965796.9199984,"(581, 6)",1094,France-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
